iso3,country,language,web_pct,primary,primary_web_share_total_pct,all_listed_share_total_pct
PAK,Pakistan,English,40.58,0,0.0147,40.6277
PAK,Pakistan,Urdu,0.033,0,0.0147,40.6277
PAK,Pakistan,Punjabi,0.0085,1,0.0147,40.6277
PAK,Pakistan,Pashto,0.0039,1,0.0147,40.6277
PAK,Pakistan,Sindhi,0.0023,1,0.0147,40.6277
PAK,Pakistan,Saraiki,,1,0.0147,40.6277
PAK,Pakistan,Balochi,,1,0.0147,40.6277
PAK,Pakistan,Hindko,,1,0.0147,40.6277
PER,Peru,Spanish,4.64,1,4.641,4.641
PER,Peru,Quechua,0.0009,1,4.641,4.641
PER,Peru,Aymara,0.0001,1,4.641,4.641
PER,Peru,Ashaninka,,1,4.641,4.641
PER,Peru,Awajun,,1,4.641,4.641
PER,Peru,Machiguenga,,1,4.641,4.641
PER,Peru,Achuar,,1,4.641,4.641
PER,Peru,Candoshi,,1,4.641,4.641
PHL,Philippines,English,40.58,0,0.0114,40.5914
PHL,Philippines,Filipino (Tagalog),0.0114,1,0.0114,40.5914
PHL,Philippines,Cebuano,,1,0.0114,40.5914
PHL,Philippines,Ilocano,,1,0.0114,40.5914
PHL,Philippines,Hiligaynon,,1,0.0114,40.5914
PHL,Philippines,Waray,,1,0.0114,40.5914
PHL,Philippines,Kapampangan,,1,0.0114,40.5914
PHL,Philippines,Central Bikol,,1,0.0114,40.5914
PNG,Papua New Guinea,English,40.58,0,0,40.58
PNG,Papua New Guinea,Tok Pisin,,1,0,40.58
PNG,Papua New Guinea,Hiri Motu,,1,0,40.58
PNG,Papua New Guinea,Enga,,1,0,40.58
PNG,Papua New Guinea,Melpa,,1,0,40.58
PNG,Papua New Guinea,Kuanua (Tolai),,1,0,40.58
PNG,Papua New Guinea,Huli,,1,0,40.58
PNG,Papua New Guinea,Kuman,,1,0,40.58
POL,Poland,Polish,2.04,1,9.0235,9.0235
POL,Poland,German,5.99,1,9.0235,9.0235
POL,Poland,Ukrainian,0.8,1,9.0235,9.0235
POL,Poland,Belarusian,0.016,1,9.0235,9.0235
POL,Poland,Lithuanian,0.17,1,9.0235,9.0235
POL,Poland,Kashubian,,1,9.0235,9.0235
POL,Poland,Tatar,0.0075,1,9.0235,9.0235
POL,Poland,Romani,,1,9.0235,9.0235
PRT,Portugal,Portuguese,2.52,1,2.52,2.52
PRT,Portugal,Mirandese,,1,2.52,2.52
PRT,Portugal,Leonese,,1,2.52,2.52
PRT,Portugal,Calo,,1,2.52,2.52
PRT,Portugal,Minderico,,1,2.52,2.52
PRT,Portugal,Barranquenho,,1,2.52,2.52
PRT,Portugal,Portuguese Sign Language,,1,2.52,2.52
PRT,Portugal,Madeiran Sign Language,,1,2.52,2.52
PRY,Paraguay,Spanish,4.64,1,4.6408,4.6408
PRY,Paraguay,Guarani,0.0008,1,4.6408,4.6408
PRY,Paraguay,Nivacle,,1,4.6408,4.6408
PRY,Paraguay,Ayoreo,,1,4.6408,4.6408
PRY,Paraguay,Ache,,1,4.6408,4.6408
PRY,Paraguay,Maka,,1,4.6408,4.6408
PRY,Paraguay,Chamacoco (Ishir),,1,4.6408,4.6408
PRY,Paraguay,Toba Qom,,1,4.6408,4.6408
ROU,Romania,Romanian,0.57,1,9.2475,9.2475
ROU,Romania,Hungarian,0.53,1,9.2475,9.2475
ROU,Romania,Romani,,1,9.2475,9.2475
ROU,Romania,German,5.99,1,9.2475,9.2475
ROU,Romania,Ukrainian,0.8,1,9.2475,9.2475
ROU,Romania,Turkish,1.35,1,9.2475,9.2475
ROU,Romania,Tatar,0.0075,1,9.2475,9.2475
ROU,Romania,Serbian,,1,9.2475,9.2475
RUS,Russia,Russian,6.82,1,6.8275,6.8275
RUS,Russia,Tatar,0.0075,1,6.8275,6.8275
RUS,Russia,Chechen,,1,6.8275,6.8275
RUS,Russia,Bashkir,,1,6.8275,6.8275
RUS,Russia,Chuvash,,1,6.8275,6.8275
RUS,Russia,Avar,,1,6.8275,6.8275
RUS,Russia,Yakut (Sakha),,1,6.8275,6.8275
RUS,Russia,Kabardian,,1,6.8275,6.8275
RWA,Rwanda,Kinyarwanda,0.0028,1,0.0028,45.3945
RWA,Rwanda,English,40.58,0,0.0028,45.3945
RWA,Rwanda,French,4.8,0,0.0028,45.3945
RWA,Rwanda,Swahili,0.0117,0,0.0028,45.3945
SAU,Saudi Arabia,Arabic (Modern Standard),0.65,1,0.65,0.65
SAU,Saudi Arabia,Najdi Arabic,,1,0.65,0.65
SAU,Saudi Arabia,Hejazi Arabic,,1,0.65,0.65
SAU,Saudi Arabia,Gulf Arabic,,1,0.65,0.65
SAU,Saudi Arabia,Southern Hejaz-Tihama Arabic,,1,0.65,0.65
SAU,Saudi Arabia,Faifi,,1,0.65,0.65
SAU,Saudi Arabia,Mehri,,1,0.65,0.65
SAU,Saudi Arabia,Saudi Sign Language,,1,0.65,0.65
SDN,Sudan,Arabic,0.65,1,0.65,41.23
SDN,Sudan,English,40.58,0,0.65,41.23
SDN,Sudan,Dinka,,1,0.65,41.23
SDN,Sudan,Nuer,,1,0.65,41.23
SDN,Sudan,Beja,,1,0.65,41.23
SDN,Sudan,Fur,,1,0.65,41.23
SDN,Sudan,Nubian,,1,0.65,41.23
SDN,Sudan,Zaghawa,,1,0.65,41.23
SEN,Senegal,French,4.8,0,0.0002,4.8002
SEN,Senegal,Wolof,0.0002,1,0.0002,4.8002
SEN,Senegal,Pulaar (Fula),,1,0.0002,4.8002
SEN,Senegal,Serer,,1,0.0002,4.8002
SEN,Senegal,Jola (Diola),,1,0.0002,4.8002
SEN,Senegal,Mandinka,,1,0.0002,4.8002
SEN,Senegal,Soninke,,1,0.0002,4.8002
SEN,Senegal,Balanta-Ganja,,1,0.0002,4.8002
SGP,Singapore,English,40.58,1,45.149,45.149
SGP,Singapore,Mandarin (Chinese),4.43,1,45.149,45.149
SGP,Singapore,Malay,0.09,1,45.149,45.149
SGP,Singapore,Tamil,0.049,1,45.149,45.149
SGP,Singapore,Hokkien,,1,45.149,45.149
SGP,Singapore,Cantonese,,1,45.149,45.149
SGP,Singapore,Teochew,,1,45.149,45.149
SGP,Singapore,Hainanese,,1,45.149,45.149
SWE,Sweden,Swedish,0.74,1,1.1216,1.1216
SWE,Sweden,Finnish,0.38,1,1.1216,1.1216
SWE,Sweden,Yiddish,0.0016,1,1.1216,1.1216
SWE,Sweden,Meankieli,,1,1.1216,1.1216
SWE,Sweden,Northern Sami,,1,1.1216,1.1216
